ID,Provincia,Canton,Localizacion,Poblacion,Cantidad,Tasa,Genero,Año
271,ALAJUELA,POAS,HIGADO,16256,0,0,HOMBRE,2011
272,ALAJUELA,OROTINA,HIGADO,9581,1,10.44,HOMBRE,2011
273,ALAJUELA,SAN CARLOS,HIGADO,77589,7,9.02,HOMBRE,2011
274,ALAJUELA,ALFARO RUIZ,HIGADO,7789,1,12.84,HOMBRE,2011
275,ALAJUELA,VALVERDE VEGA,HIGADO,9140,1,10.94,HOMBRE,2011
276,ALAJUELA,UPALA,HIGADO,18732,1,5.34,HOMBRE,2011
277,ALAJUELA,LOS CHILES,HIGADO,10825,0,0,HOMBRE,2011
278,ALAJUELA,GUATUSO,HIGADO,8694,0,0,HOMBRE,2011
279,CARTAGO,CENTRAL,HIGADO,78555,10,12.73,HOMBRE,2011
280,CARTAGO,PARAISO,HIGADO,35284,0,0,HOMBRE,2011
281,CARTAGO,LA UNION,HIGADO,53721,4,7.45,HOMBRE,2011
282,CARTAGO,JIMENEZ,HIGADO,7084,0,0,HOMBRE,2011
283,CARTAGO,TURRIALBA,HIGADO,35962,4,11.12,HOMBRE,2011
284,CARTAGO,ALVARADO,HIGADO,6990,0,0,HOMBRE,2011
285,CARTAGO,OREAMUNO,HIGADO,22556,2,8.87,HOMBRE,2011
286,CARTAGO,EL GUARCO,HIGADO,19823,0,0,HOMBRE,2011
287,HEREDIA,CENTRAL,HIGADO,67169,3,4.47,HOMBRE,2011
288,HEREDIA,BARVA,HIGADO,19953,1,5.01,HOMBRE,2011
289,HEREDIA,SANTO DOMINGO,HIGADO,18957,1,5.28,HOMBRE,2011
290,HEREDIA,SANTA BARBARA,HIGADO,17747,4,22.54,HOMBRE,2011
291,HEREDIA,SAN RAFAEL,HIGADO,22062,2,9.07,HOMBRE,2011
292,HEREDIA,SAN ISIDRO,HIGADO,11378,1,8.79,HOMBRE,2011
293,HEREDIA,BELEN,HIGADO,11832,1,8.45,HOMBRE,2011
294,HEREDIA,FLORES,HIGADO,8897,0,0,HOMBRE,2011
295,HEREDIA,SAN PABLO,HIGADO,11720,1,8.53,HOMBRE,2011
296,HEREDIA,SARAPIQUI,HIGADO,42040,2,4.76,HOMBRE,2011
297,GUANACASTE,LIBERIA,HIGADO,27303,1,3.66,HOMBRE,2011
298,GUANACASTE,NICOYA,HIGADO,20554,0,0,HOMBRE,2011
299,GUANACASTE,SANTA CRUZ,HIGADO,22487,3,13.34,HOMBRE,2011
300,GUANACASTE,BAGACES,HIGADO,9834,1,10.17,HOMBRE,2011
301,GUANACASTE,CARRILLO,HIGADO,15525,1,6.44,HOMBRE,2011
302,GUANACASTE,CAÑAS,HIGADO,12664,0,0,HOMBRE,2011
303,GUANACASTE,ABANGARES,HIGADO,8656,0,0,HOMBRE,2011
304,GUANACASTE,TILARAN,HIGADO,8449,1,11.84,HOMBRE,2011
305,GUANACASTE,NANDAYURE,HIGADO,5121,0,0,HOMBRE,2011
306,GUANACASTE,LA CRUZ,HIGADO,8863,0,0,HOMBRE,2011
