ID,Provincia,Canton,Localizacion,Cantidad,Tasa,Genero,Año
,SAN JOSE,DESAMPARADOS,HIGADO,5,3.29,HOMBRE,2011
,SAN JOSE,PURISCAL,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,TARRAZU,HIGADO,1,11.88,HOMBRE,2011
,SAN JOSE,ASERRI,HIGADO,3,10.68,HOMBRE,2011
,SAN JOSE,MORA,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,GOICOECHEA,HIGADO,7,10.67,HOMBRE,2011
,SAN JOSE,SANTA ANA,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,ALAJUELITA,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,CORONADO,HIGADO,2,4.84,HOMBRE,2011
,SAN JOSE,ACOSTA,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,TIBAS,HIGADO,5,16.61,HOMBRE,2011
,SAN JOSE,MORAVIA,HIGADO,5,18.44,HOMBRE,2011
,SAN JOSE,MONTES DE OCA,HIGADO,3,11.3,HOMBRE,2011
,SAN JOSE,TURRUBARES,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,DOTA,HIGADO,0,0,HOMBRE,2011
,SAN JOSE,CURRIDABAT,HIGADO,1,2.74,HOMBRE,2011
,SAN JOSE,PEREZ ZELEDON,HIGADO,6,9.19,HOMBRE,2011
,SAN JOSE,LEON CORTES,HIGADO,0,0,HOMBRE,2011
,ALAJUELA,CENTRAL,HIGADO,12,8.27,HOMBRE,2011
,ALAJUELA,SAN RAMON,HIGADO,1,2.2,HOMBRE,2011
,ALAJUELA,GRECIA,HIGADO,4,9.47,HOMBRE,2011
,ALAJUELA,SAN MATEO,HIGADO,0,0,HOMBRE,2011
,ALAJUELA,ATENAS,HIGADO,0,0,HOMBRE,2011
,ALAJUELA,NARANJO,HIGADO,3,13.03,HOMBRE,2011
,ALAJUELA,PALMARES,HIGADO,2,10.34,HOMBRE,2011
,ALAJUELA,POAS,HIGADO,0,0,HOMBRE,2011
,ALAJUELA,OROTINA,HIGADO,1,10.44,HOMBRE,2011
,ALAJUELA,SAN CARLOS,HIGADO,7,9.02,HOMBRE,2011
,ALAJUELA,ALFARO RUIZ,HIGADO,1,12.84,HOMBRE,2011
,ALAJUELA,VALVERDE VEGA,HIGADO,1,10.94,HOMBRE,2011
,ALAJUELA,UPALA,HIGADO,1,5.34,HOMBRE,2011
,ALAJUELA,LOS CHILES,HIGADO,0,0,HOMBRE,2011
,ALAJUELA,GUATUSO,HIGADO,0,0,HOMBRE,2011
